COUNTY,TYPE,VENDOR,MODEL,VERSION,QUANTITY
ANDERSON,Electronic	Ballot	 Marker,ES&S,AutoMARK	 Voter	Assist	Ter minal,1.1,40
,Optical	 Scan	 (not	including	 ADAunits ),ES&S,Model	 100,5.2.1.0,26
,Optical	 Scan	 (not	including	 ADAunits ),ES&S,Model	 650,2.1.0.0,1
,Software,ES&S,Election	 Reporting	 Manager	(ERM),7.1.2.1,0
ANDREWS,Electronic	Ballot	 Marker,ES&S,AutoMARK	 Voter	Assist	Ter minal,1.1,9
,Optical	 Scan	 (not	including	 ADA units ),ES&S,Model	 650,2.1.0.0,1
ANGELINA,DRE	 (not	including	 ADA units ),ES&S,iVotronic,9.1.6.2,133
,Optical	 Scan	 (not	including	 ADAunits ),ES&S,Model	 100,5.2.1.0,30
,Software,ES&S,Ballot	on	 Demand	 (BOD),7.2.0.0,0
,Software,ES&S,Election	 Reporting	 Manager	 (ERM),7.1.2.1,0
,Software,ES&S,Unity,3.0.1.1,1
ARANSAS,DRE	 (not	including	 ADAunits ),Hart,eSlate,4.2.13,16
,Optical	 Scan	 (not	including	 ADA units ),Hart,eScan,1.3.14,12
,Other,Hart,Judges	Booth	 Controller	(JBC ),4.3.1,0
,Software,Hart,eCM,1.1.7,0
,Software,Hart,SERVO,4.2.10,0
,Software,Hart,Tally,4.3.10,0
ARCHER,DRE	 (not	including	 ADA units ),Hart,eSlate,4.2.13,42
,Other,Hart,Ballot	 Now	 Scanner,0,1
,Other,Hart,Judges	Booth	 Controller	(JBC ),4.3.1,0
,Software,Hart,Ballot	 Now,3.3.11,0
,Software,Hart,BOSS,4.3.13,0
,Software,Hart,eCM,1.1.7,0
,Software,Hart,Tally,4.3.10,0
ARMSTRONG,DRE	 (not	including	 ADAunits ),ES&S,iVotronic,9.1.6.2,10
,Software,ES&S,Unity,3.0.1.1,1
ATASCOSA,DRE	 (not	including	 ADAunits ),Hart,eSlate,4.2.13,6
,Optical	 Scan	 (not	including	 ADA units ),Hart,eScan,1.3.14,34
,Other,Hart,Judges	Booth	 Controller	(JBC ),4.3.1,0
,Software,Hart,eCM,1.1.7,0
,Software,Hart,SERVO,4.2.10,0
,Software,Hart,Tally,4.3.10,0
AUSTIN,Electronic	Ballot	 Marker,ES&S,AutoMARK	 Voter	Assist	Ter minal,1.1,19
,Optical	 Scan	 (not	including	 ADA units ),ES&S,Model	 650,2.1.0.0,1
,Software,ES&S,Election	 Reporting	 Manager	(ERM),7.1.2.1,0
BAILEY,Electronic	Ballot	 Marker,ES&S,AutoMARK 	Voter	Assist	Terminal,1.1,7
,Optical 	Scan	 (not	including	 ADAunits ),ES&S,Model 	 100,5.2.1.0,7
