county,machine
ANDERSON,AutoMark
ANDREWS,AutoMark
ANGELINA,iVotronic
ARANSAS,eSlate
ARCHER,eSlate
ARMSTRONG,iVotronic
ATASCOSA,eSlate
AUSTIN,AutoMark
BAILEY,AutoMark
BANDERA,eSlate
BASTROP,AutoMark
BAYLOR,AutoMark
BEE,eSlate
BELL,AutoMark
BEXAR,iVotronic
BLANCO,AutoMark
BORDEN,AutoMark
BOSQUE,AutoMark
BOWIE,AutoMark
BRAZORIA,eSlate
BRAZOS,eSlate
BREWSTER,iVotronic
BRISCOE,iVotronic
BROOKS,eSlate
BROWN,AutoMark
BURLESON,eSlate
BURNET,eSlate
CALDWELL,iVotronic
CALHOUN,AutoMark
CALLAHAN,eSlate
CAMERON,AutoMark
CAMP,AutoMark
CARSON,AutoMark
CASS,eSlate
CASTRO,eSlate
CHAMBERS,iVotronic
CHEROKEE,eSlate
CHILDRESS,iVotronic
CLAY,AutoMark
COCHRAN,AutoMark
COKE,eSlate
COLEMAN,eSlate
COLLIN,DieboldTS
COLLINGSWORTH,AutoMark
COLORADO,AutoMark
COMAL,iVotronic
COMANCHE,eSlate
CONCHO,eSlate
COOKE,AutoMark
CORYELL,eSlate
COTTLE,iVotronic
CRANE,iVotronic
CROCKETT,AutoMark
CROSBY,eSlate
CULBERSON,eSlate
DALLAM,AutoMark
DALLAS,iVotronic
DAWSON,eSlate
DEAF SMITH,eSlate
DELTA,eSlate
DENTON,eSlate
DEWITT,eSlate
DICKENS,eSlate
DIMMITT,AutoMark
DONLEY,AutoMark
DUVAL,eSlate
EASTLAND,eSlate
ECTOR,eSlate
EDWARDS,AutoMark
EL PASO,DieboldTS
ELLIS,AutoMark
ERATH,eSlate
FALLS,eSlate
FANNIN,eSlate
FAYETTE,AutoMark
FISHER,AutoMark
FLOYD,eSlate
FOARD,eSlate
FRANKLIN,AutoMark
FREESTONE,AutoMark
FRIO,AutoMark
FT. BEND,eSlate
GAINES,eSlate
GALVESTON,eSlate
GARZA,AutoMark
GILLESPIE,AutoMark
GLASSCOCK,AutoMark
GOLIAD,AutoMark
GONZALES,AutoMark
GRAY,eSlate
GRAYSON,iVotronic
GREGG,eSlate
GRIMES,eSlate
GUADALUPE,DieboldTS
HALE,eSlate
HALL,iVotronic
HAMILTON,AutoMark
HANSFORD,AutoMark
HARDEMAN,AutoMark
HARDIN,eSlate
HARRIS,eSlate
HARRISON,eSlate
HARTLEY,AutoMark
HASKELL,AutoMark
HAYS,eSlate
HEMPHILL,AutoMark
HENDERSON,eSlate
HIDALGO,iVotronic
HILL,iVotronic
HOCKLEY,AutoMark
HOOD,iVotronic
HOPKINS,eSlate
HOUSTON,AutoMark
HOWARD,iVotronic
HUDSPETH,eSlate
HUNT,eSlate
HUTCHINSON,iVotronic
IRION,eSlate
JACK,eSlate
JACKSON,DieboldTSX
JASPER,AutoMark
JEFF DAVIS,AutoMark
JEFFERSON,iVotronic
JIM HOGG,eSlate
JIM WELLS,eSlate
JOHNSON,AutoMark
JONES,iVotronic
KARNES,AutoMark
KAUFMAN,eSlate
KENDALL,iVotronic
KENEDY,eSlate
KENT,AutoMark
KERR,eSlate
KIMBLE,eSlate
KING,AutoMark
KINNEY,AutoMark
KLEBERG,iVotronic
KNOX,AutoMark
LA SALLE,eSlate
LAMAR,AutoMark
LAMB,AutoMark
LAMPASAS,eSlate
LAVACA,iVotronic
LEE,DieboldTSX
LEON,iVotronic
LIBERTY,eSlate
LIMESTONE,iVotronic
LIPSCOMB,eSlate
LIVE OAK,AutoMark
LLANO,eSlate
LOVING,AutoMark
LUBBOCK,eSlate
LYNN,AutoMark
MADISON,eSlate
MARION,eSlate
MARTIN,eSlate
MASON,AutoMark
MATAGORDA,AutoMark
MAVERICK,AutoMark
McCULLOCH,eSlate
MCLENNAN,eSlate
MCMULLEN,AutoMark
MEDINA,eSlate
MENARD,eSlate
MIDLAND,iVotronic
MILAM,eSlate
MILLS,eSlate
MITCHELL,AutoMark
MONTAGUE,iVotronic
MONTGOMERY,eSlate
MOORE,iVotronic
MORRIS,iVotronic
MOTLEY,eSlate
NACOGDOCHES,eSlate
NAVARRO,iVotronic
NEWTON,AutoMark
NOLAN,AutoMark
NUECES,eSlate
OCHILTREE,AutoMark
OLDHAM,AutoMark
ORANGE,AutoMark
PALO PINTO,iVotronic
PANOLA,AutoMark
PARKER,eSlate
PARMER,AutoMark
PECOS,AutoMark
POLK,iVotronic
POTTER,iVotronic
PRESIDIO,iVotronic
RAINS,eSlate
RANDALL,eSlate
REAGAN,eSlate
REAL,AutoMark
RED RIVER,eSlate
REEVES,AutoMark
REFUGIO,eSlate
ROBERTS,eSlate
ROBERTSON,AutoMark
ROCKWALL,iVotronic
RUNNELS,eSlate
RUSK,iVotronic
SABINE,AutoMark
SAN AUGUSTINE,AutoMark
SAN JACINTO,iVotronic
SAN PATRICIO,eSlate
SAN SABA,AutoMark
SCHLEICHER,AutoMark
SCURRY,iVotronic
SHACKELFORD,eSlate
SHELBY,AutoMark
SHERMAN,DieboldTSX
SMITH,iVotronic
SOMERVELL,AutoMark
STARR,iVotronic
STEPHENS,AutoMark
STERLING,eSlate
STONEWALL,AutoMark
SUTTON,AutoMark
SWISHER,iVotronic
TARRANT,eSlate
TAYLOR,eSlate
TERRELL,AutoMark
TERRY,AutoMark
THROCKMORTON,eSlate
TITUS,AutoMark
TOM GREEN,eSlate
TRAVIS,eSlate
TRINITY,AutoMark
TYLER,AutoMark
UPSHUR,eSlate
UPTON,iVotronic
UVALDE,eSlate
VAL VERDE,AutoMark
VAN ZANDT,AutoMark
VICTORIA,iVotronic
WALKER,AutoMark
WALLER,eSlate
WARD,AutoMark
WASHINGTON,AutoMark
WEBB,iVotronic
WHARTON,AutoMark
WHEELER,eSlate
WICHITA,iVotronic
WILBARGER,eSlate
WILLACY,eSlate
WILLIAMSON,iVotronic
WILSON,DieboldTSX
WINKLER,AutoMark
WISE,eSlate
WOOD,AutoMark
YOAKUM,AutoMark
YOUNG,eSlate
ZAPATA,eSlate
ZAVALA,AutoMark
